file,x_range,x_max,y_max
scan_point_31.dat,50-45,49.71544757680952,45.20038986206055
scan_point_31.dat,45-55,50.18708618651798,48.897979736328125
scan_point_31.dat,55-67,58.474450328538126,32.44633483886719
scan_point_32.dat,29-32,30.782526244226908,175.16184997558594
scan_point_32.dat,33-50,49.71544757680952,48.132347106933594
scan_point_32.dat,50-45,49.71544757680952,48.132347106933594
scan_point_32.dat,45-55,50.18708618651798,51.259071350097656
scan_point_32.dat,55-67,58.40707338429406,33.63643264770508
scan_point_33.dat,29-32,30.782526244226908,165.3623046875
scan_point_33.dat,33-50,49.64807063256545,42.496864318847656
scan_point_33.dat,50-45,49.64807063256545,42.496864318847656
scan_point_33.dat,45-55,50.18708618651798,46.022300720214844
scan_point_33.dat,55-67,58.40707338429406,34.902069091796875
scan_point_34.dat,29-32,30.782526244226908,166.7520751953125
scan_point_34.dat,33-50,49.64807063256545,40.16395568847656
scan_point_34.dat,50-45,49.64807063256545,40.16395568847656
scan_point_34.dat,45-55,50.11970924227391,43.73443603515625
scan_point_34.dat,55-67,58.40707338429406,35.496612548828125
scan_point_4.dat,29-32,30.782526244226908,190.6840057373047
scan_point_4.dat,33-50,49.71544757680952,44.93543243408203
scan_point_4.dat,50-45,49.71544757680952,44.93543243408203
scan_point_4.dat,45-55,50.18708618651798,49.31810760498047
scan_point_4.dat,55-67,58.40707338429406,33.57466125488281
scan_point_5.dat,29-32,30.782526244226908,168.2051544189453
scan_point_5.dat,33-50,49.71544757680952,41.08552551269531
scan_point_5.dat,50-45,49.71544757680952,41.08552551269531
scan_point_5.dat,45-55,50.18708618651798,45.702816009521484
scan_point_5.dat,55-67,58.474450328538126,34.246463775634766
scan_point_6.dat,29-32,30.782526244226908,172.93324279785156
scan_point_6.dat,33-50,49.71544757680952,42.027034759521484
scan_point_6.dat,50-45,49.71544757680952,42.027034759521484
scan_point_6.dat,45-55,50.18708618651798,46.14805603027344
scan_point_6.dat,55-67,58.474450328538126,34.163230895996094
scan_point_7.dat,29-32,30.782526244226908,162.16905212402344
scan_point_7.dat,33-50,49.64807063256545,40.06608581542969
scan_point_7.dat,50-45,49.64807063256545,40.06608581542969
scan_point_7.dat,45-55,50.18708618651798,43.57875442504883
scan_point_7.dat,55-67,58.40707338429406,35.291473388671875
scan_point_8.dat,29-32,30.782526244226908,167.97225952148438
scan_point_8.dat,33-50,49.71544757680952,40.1517333984375
scan_point_8.dat,50-45,49.71544757680952,40.1517333984375
scan_point_8.dat,45-55,50.18708618651798,43.29753112792969
scan_point_8.dat,55-67,58.40707338429406,35.98652267456055
scan_point_9.dat,29-32,30.782526244226908,150.09190368652344
scan_point_9.dat,33-50,49.64807063256545,40.74753952026367
scan_point_9.dat,50-45,49.64807063256545,40.74753952026367
scan_point_9.dat,45-55,50.11970924227391,43.10679626464844
scan_point_9.dat,55-67,58.40707338429406,34.47394943237305
